Resposta,Ano_Nascimento,Educacao,Dias_Ultima_Compra,Renda,Gasto_Vinhos,Gasto_Frutas,Gasto_Carne,Gasto_Peixe,Gasto_Doces,Gasto_Ouro,Num_Compras_Promocao,Num_Compras_Web,Num_Compras_Catalogo,Num_Compras_Loja,Num_Visitas_Web_Mes,Z_CustoContato,Z_Receita,Estado_Civil,Criancas_Casa,Adolescentes_Casa,Aceitou_Campanha3=1,Aceitou_Campanha4=1,Aceitou_Campanha5=1,Aceitou_Campanha1=1,Aceitou_Campanha2=1,Reclamacao=1
0,1983,Graduation,14,36790.000,3,3,14,15,21,10,1,2,1,2,9,3,11,Married,0,0,0,0,0,0,0,0
1,1970,Graduation,43,81205.000,724,74,929,97,55,130,1,5,6,7,2,3,11,Together,0,0,1,0,1,0,1,0
0,1955,Master,55,82384.000,984,51,432,180,120,190,1,3,10,13,1,3,11,Together,0,0,0,0,1,0,0,0
1,1977,Unknown,14,20981.000,2,12,10,6,13,30,1,3,1,2,8,3,11,Together,0,0,0,0,0,0,0,0
1,1954,Unknown,0,63564.000,769,80,252,15,34,65,1,10,10,7,6,3,11,Married,0,0,1,0,0,0,0,0
0,1957,PhD,48,54237.000,267,3,30,4,0,57,4,5,2,5,6,3,11,Divorced,0,1,0,0,0,0,0,0
0,1973,Master,33,27159.000,17,0,3,0,0,1,2,1,0,3,6,3,11,Married,1,1,0,0,0,0,0,0
1,1971,PhD,78,32892.000,26,0,15,2,1,2,2,3,0,3,8,3,11,Together,1,0,0,0,0,0,0,0
0,1965,Graduation,92,73538.000,811,76,428,99,137,107,3,10,4,9,7,3,11,Married,0,1,0,0,0,0,0,0
1,1984,Graduation,82,40059.000,110,29,92,28,10,145,1,6,2,3,8,3,11,Married,1,0,1,0,0,0,0,0
0,1978,Graduation,81,64813.000,293,0,124,179,97,52,1,7,2,10,5,3,11,Married,1,0,0,0,0,0,0,0
